,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadar Nagar Haveli,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telengana,Tripura,Uttarakhand,Uttar Pradesh,West Bengal
602,33.0,2378.0,1.0,277.0,1900.0,199.0,122.0,1.0,8746.0,42.0,10780.0,1055.0,122.0,946.0,296.0,1328.0,608.0,43.0,5003.0,30108.0,11.0,12.0,1.0,0.0,1245.0,25.0,2000.0,6040.0,0.0,13170.0,1491.0,173.0,222.0,4843.0,2306.0
603,33.0,2421.0,1.0,324.0,1946.0,214.0,130.0,1.0,9243.0,57.0,11894.0,1069.0,140.0,953.0,320.0,1403.0,627.0,47.0,5221.0,31333.0,14.0,12.0,1.0,0.0,1325.0,25.0,2017.0,6435.0,0.0,13706.0,1526.0,173.0,252.0,5030.0,2410.0
604,33.0,2466.0,1.0,413.0,2077.0,214.0,188.0,1.0,9542.0,57.0,12212.0,1089.0,150.0,1007.0,321.0,1514.0,651.0,48.0,5445.0,32329.0,38.0,13.0,1.0,0.0,1416.0,25.0,2029.0,6744.0,0.0,14316.0,1556.0,173.0,282.0,5176.0,2580.0
605,33.0,2539.0,1.0,442.0,2210.0,214.0,213.0,1.0,9898.0,57.0,12667.0,2134.0,179.0,1048.0,354.0,1610.0,690.0,48.0,5637.0,33681.0,38.0,13.0,1.0,0.0,1416.0,25.0,2043.0,7104.0,0.0,14902.0,1587.0,173.0,297.0,5439.0,2768.0
606,33.0,2576.0,1.0,498.0,2225.0,222.0,244.0,1.0,10315.0,65.0,13003.0,2134.0,189.0,1086.0,410.0,1688.0,712.0,48.0,5878.0,35156.0,41.0,13.0,1.0,0.0,1604.0,36.0,2069.0,7359.0,0.0,15762.0,1627.0,173.0,344.0,5648.0,2912.0
607,33.0,2620.0,1.0,547.0,2425.0,273.0,266.0,1.0,10664.0,65.0,13316.0,2134.0,194.0,1126.0,473.0,1968.0,762.0,48.0,6108.0,37390.0,52.0,13.0,1.0,0.0,1716.0,36.0,2092.0,7501.0,0.0,16395.0,1710.0,173.0,423.0,5648.0,3119.0
608,33.0,2682.0,1.0,615.0,2480.0,273.0,283.0,2.0,10664.0,65.0,13635.0,2134.0,224.0,1216.0,490.0,2132.0,803.0,50.0,6331.0,39314.0,52.0,13.0,1.0,8.0,1894.0,36.0,2106.0,7641.0,0.0,16999.0,1710.0,192.0,528.0,6185.0,3303.0
609,33.0,2745.0,1.0,665.0,2499.0,273.0,308.0,2.0,11357.0,67.0,13956.0,2134.0,227.0,1324.0,519.0,2519.0,814.0,52.0,6536.0,40975.0,58.0,13.0,1.0,8.0,1993.0,52.0,2128.0,8004.0,0.0,17527.0,1809.0,192.0,714.0,6344.0,3465.0
610,33.0,2802.0,1.0,1085.0,2864.0,286.0,386.0,2.0,11861.0,67.0,14365.0,2134.0,249.0,1506.0,559.0,2604.0,848.0,52.0,6729.0,42638.0,61.0,13.0,1.0,10.0,2133.0,52.0,2167.0,8328.0,0.0,18325.0,1809.0,192.0,755.0,6669.0,3620.0
611,33.0,2899.0,2.0,1249.0,3071.0,286.0,402.0,,12245.0,67.0,14735.0,2188.0,254.0,1671.0,592.0,2862.0,905.0,52.0,6892.0,44517.0,63.0,13.0,1.0,22.0,2282.0,53.0,2232.0,8569.0,0.0,19333.0,,239.0,831.0,6871.0,3779.0
612,33.0,3048.0,4.0,1432.0,3266.0,286.0,447.0,,12731.0,67.0,15101.0,2260.0,280.0,1820.0,630.0,2977.0,968.0,54.0,7042.0,46078.0,73.0,18.0,1.0,22.0,2354.0,67.0,2259.0,8775.0,2.0,20705.0,,278.0,842.0,7292.0,3988.0
613,33.0,3105.0,4.0,1537.0,3587.0,286.0,550.0,,13398.0,69.0,15493.0,2475.0,297.0,2086.0,672.0,3440.0,1000.0,62.0,7201.0,47796.0,77.0,22.0,1.0,49.0,2474.0,67.0,2282.0,8898.0,2.0,22047.0,,278.0,947.0,7609.0,4206.0
614,33.0,3195.0,4.0,1584.0,3956.0,286.0,631.0,,14945.0,70.0,15883.0,2803.0,313.0,2269.0,816.0,3648.0,1046.0,68.0,7377.0,49346.0,91.0,22.0,1.0,76.0,2594.0,82.0,2327.0,9337.0,4.0,23409.0,,315.0,1077.0,7875.0,4542.0
615,33.0,3314.0,7.0,1960.0,4170.0,293.0,763.0,,15823.0,74.0,16325.0,3003.0,337.0,2389.0,905.0,3955.0,1102.0,80.0,7677.0,50978.0,91.0,25.0,1.0,88.0,2708.0,91.0,2356.0,9566.0,4.0,24547.0,,315.0,1111.0,8268.0,5060.0
616,33.0,3316.0,7.0,2166.0,4409.0,296.0,890.0,,16427.0,85.0,16664.0,3565.0,353.0,2604.0,905.0,4135.0,1175.0,82.0,7903.0,56049.0,151.0,25.0,1.0,92.0,2854.0,95.0,2443.0,9785.0,4.0,25344.0,,433.0,1189.0,8268.0,5494.0
617,33.0,3509.0,7.0,2166.0,4644.0,302.0,1036.0,,16500.0,85.0,17082.0,3748.0,372.0,2781.0,1121.0,4456.0,1236.0,85.0,8152.0,57851.0,159.0,25.0,1.0,92.0,2974.0,99.0,2461.0,9849.0,4.0,26782.0,,433.0,1216.0,8610.0,6028.0
618,33.0,3641.0,7.0,2642.0,4926.0,303.0,1180.0,,17457.0,96.0,17430.0,3952.0,372.0,2914.0,1151.0,4804.0,1326.0,92.0,8388.0,59166.0,192.0,30.0,1.0,103.0,3047.0,109.0,2538.0,10467.0,4.0,27624.0,,556.0,1254.0,8904.0,6533.0
619,33.0,3789.0,10.0,2654.0,5056.0,306.0,1228.0,,21341.0,109.0,17819.0,4556.0,382.0,3144.0,1198.0,4983.0,1415.0,95.0,8632.0,60838.0,199.0,30.0,1.0,103.0,3144.0,109.0,2570.0,10742.0,5.0,28641.0,,639.0,1386.0,9239.0,7001.0
620,35.0,3917.0,11.0,3039.0,5098.0,315.0,1331.0,,23569.0,118.0,18159.0,4889.0,388.0,3194.0,1332.0,5210.0,1511.0,95.0,8748.0,62773.0,218.0,33.0,1.0,125.0,3297.0,118.0,2636.0,10997.0,5.0,30271.0,,657.0,1433.0,9638.0,7303.0
621,36.0,4111.0,14.0,3039.0,5529.0,316.0,1394.0,,31294.0,129.0,18694.0,5128.0,413.0,3336.0,1335.0,5391.0,1568.0,117.0,8880.0,64153.0,232.0,33.0,9.0,138.0,3534.0,118.0,2678.0,11274.0,25.0,31316.0,,680.0,1450.0,9995.0,7865.0
622,37.0,4331.0,15.0,3360.0,5580.0,316.0,1447.0,,33013.0,129.0,19349.0,5557.0,425.0,3382.0,1406.0,5618.0,1661.0,134.0,9015.0,65744.0,250.0,33.0,9.0,141.0,3720.0,140.0,2700.0,11597.0,25.0,32754.0,,759.0,1500.0,10995.0,8297.0
623,37.0,4495.0,21.0,3521.0,5781.0,322.0,1513.0,,36602.0,152.0,19909.0,5916.0,437.0,3531.0,1469.0,5730.0,1749.0,136.0,9215.0,67706.0,250.0,37.0,9.0,141.0,3863.0,149.0,2825.0,11910.0,29.0,34112.0,,782.0,1521.0,11601.0,8687.0
624,40.0,4599.0,22.0,3762.0,6104.0,322.0,1553.0,,39313.0,205.0,20513.0,6498.0,443.0,3642.0,1520.0,6004.0,1809.0,148.0,9335.0,69631.0,258.0,37.0,9.0,141.0,3988.0,165.0,3047.0,12213.0,29.0,35339.0,,807.0,1602.0,12116.0,9218.0
701,50.0,6511.0,62.0,5647.0,7687.0,364.0,2250.0,,58348.0,596.0,23662.0,9972.0,580.0,4722.0,1884.0,7918.0,2306.0,648.0,10395.0,90911.0,553.0,42.0,122.0,168.0,5189.0,272.0,3867.0,14220.0,52.0,50074.0,,1086.0,2231.0,16084.0,12130.0
702,50.0,6988.0,66.0,5851.0,7946.0,367.0,2303.0,,59992.0,670.0,24030.0,10499.0,614.0,4856.0,1931.0,8063.0,2439.0,694.0,10655.0,93154.0,579.0,42.0,123.0,168.0,5353.0,272.0,3867.0,14574.0,53.0,52926.0,,1093.0,2317.0,16629.0,12528.0
703,51.0,7313.0,66.0,6106.0,8020.0,389.0,2385.0,,63007.0,734.0,24593.0,11019.0,628.0,4974.0,1983.0,8334.0,2640.0,730.0,10815.0,101172.0,617.0,42.0,126.0,182.0,5502.0,331.0,4144.0,14948.0,53.0,56021.0,,1146.0,2405.0,17221.0,13037.0
