,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadar Nagar Haveli,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telengana,Tripura,Uttarakhand,Uttar Pradesh,West Bengal
608,33.0,4708.0,51.0,2565.0,5088.0,314.0,1073.0,20.0,27654.0,300.0,20070.0,4448.0,413.0,4087.0,1099.0,5452.0,1914.0,103.0,9401.0,85975.0,172.0,36.0,34.0,118.0,2856.0,99.0,2608.0,10599.0,7.0,31667.0,3580.0,800.0,1355.0,10536.0,8187.0
609,33.0,4851.0,51.0,2776.0,5202.0,317.0,1160.0,22.0,29943.0,330.0,20545.0,4854.0,421.0,4285.0,1256.0,5760.0,2005.0,103.0,9638.0,88528.0,272.0,36.0,42.0,123.0,2994.0,127.0,2663.0,10763.0,7.0,33229.0,3742.0,838.0,1411.0,10947.0,8613.0
610,33.0,5070.0,57.0,2937.0,5459.0,323.0,1240.0,22.0,31309.0,359.0,21014.0,5209.0,445.0,4346.0,1411.0,5921.0,2096.0,108.0,9849.0,90787.0,304.0,43.0,88.0,127.0,3140.0,127.0,2719.0,11245.0,13.0,34914.0,3920.0,864.0,1537.0,11335.0,8985.0
611,34.0,5269.0,57.0,3092.0,5710.0,327.0,1262.0,,32810.0,387.0,21521.0,5579.0,451.0,4507.0,1489.0,6041.0,2161.0,115.0,10049.0,94041.0,311.0,44.0,93.0,128.0,3250.0,127.0,2805.0,11600.0,13.0,36841.0,,895.0,1562.0,11610.0,9328.0
612,38.0,5429.0,61.0,3319.0,5983.0,332.0,1398.0,,34687.0,417.0,22032.0,5968.0,470.0,4574.0,1599.0,6245.0,2244.0,135.0,10241.0,97648.0,366.0,44.0,102.0,128.0,3386.0,157.0,2887.0,11838.0,14.0,38716.0,,913.0,1643.0,12088.0,9768.0
613,38.0,5680.0,67.0,3498.0,6103.0,334.0,1429.0,,36824.0,463.0,22527.0,6334.0,486.0,4730.0,1617.0,6516.0,2322.0,239.0,10443.0,101141.0,385.0,44.0,104.0,156.0,3498.0,157.0,2986.0,12068.0,63.0,40698.0,,961.0,1724.0,12616.0,10244.0
614,38.0,5965.0,87.0,3718.0,6290.0,345.0,1512.0,,38958.0,523.0,23038.0,6749.0,502.0,4878.0,1711.0,6824.0,2407.0,437.0,10641.0,104568.0,449.0,44.0,107.0,163.0,3723.0,176.0,3063.0,12401.0,63.0,42687.0,,1046.0,1785.0,13118.0,10698.0
615,38.0,6163.0,91.0,4049.0,6470.0,352.0,1662.0,,41182.0,564.0,23544.0,7208.0,518.0,5041.0,1745.0,7000.0,2461.0,549.0,10802.0,107958.0,458.0,44.0,112.0,168.0,3909.0,194.0,3140.0,12694.0,68.0,44661.0,,1076.0,1819.0,13615.0,11087.0
616,41.0,6456.0,91.0,4158.0,6650.0,354.0,1756.0,,42829.0,592.0,24055.0,7722.0,556.0,5220.0,1763.0,7213.0,2543.0,555.0,10935.0,110744.0,490.0,44.0,117.0,177.0,4055.0,202.0,3267.0,12981.0,68.0,46504.0,,1086.0,1845.0,13615.0,11494.0
617,44.0,6841.0,95.0,4319.0,6778.0,358.0,1781.0,,44688.0,629.0,24577.0,8272.0,560.0,5298.0,1839.0,7530.0,2622.0,649.0,11083.0,113445.0,500.0,44.0,121.0,179.0,4163.0,216.0,3371.0,13216.0,70.0,48019.0,,1092.0,1942.0,14091.0,11909.0
618,44.0,7071.0,99.0,4605.0,6942.0,368.0,1864.0,,47102.0,656.0,25093.0,8832.0,569.0,5406.0,1895.0,7734.0,2697.0,687.0,11244.0,116752.0,552.0,44.0,121.0,193.0,4338.0,245.0,3497.0,13542.0,70.0,50193.0,,1135.0,2023.0,14598.0,12300.0
619,44.0,7518.0,103.0,4777.0,7025.0,374.0,1946.0,,49979.0,705.0,25601.0,9218.0,595.0,5555.0,1920.0,7944.0,2794.0,687.0,11426.0,120504.0,606.0,44.0,130.0,193.0,4512.0,271.0,3615.0,13857.0,70.0,52334.0,,1155.0,2102.0,15181.0,12735.0
620,45.0,7961.0,103.0,4904.0,7181.0,381.0,2028.0,,53116.0,725.0,26141.0,9743.0,619.0,5680.0,1965.0,8281.0,2912.0,744.0,11582.0,124331.0,681.0,44.0,130.0,198.0,4677.0,286.0,3832.0,14156.0,70.0,54449.0,,1178.0,2177.0,15785.0,13090.0
621,47.0,8452.0,135.0,4904.0,7533.0,404.0,2041.0,,56746.0,754.0,26680.0,10223.0,656.0,5834.0,1965.0,8697.0,3039.0,836.0,11724.0,128205.0,777.0,44.0,140.0,201.0,4856.0,286.0,3952.0,14536.0,70.0,56845.0,,1186.0,2301.0,16594.0,13531.0
622,48.0,8999.0,135.0,5388.0,7612.0,406.0,2275.0,,59746.0,754.0,27260.0,10635.0,673.0,5956.0,2073.0,9150.0,3172.0,837.0,11903.0,132075.0,841.0,44.0,141.0,211.0,5160.0,366.0,4074.0,14930.0,78.0,59377.0,,1221.0,2344.0,17731.0,13945.0
623,48.0,9372.0,139.0,5586.0,7825.0,411.0,2303.0,,62655.0,864.0,27825.0,11025.0,727.0,6088.0,2137.0,9399.0,3310.0,847.0,12078.0,135796.0,898.0,44.0,141.0,280.0,5303.0,383.0,4235.0,15232.0,78.0,62087.0,,1237.0,2402.0,18322.0,14358.0
624,50.0,10002.0,148.0,5831.0,8153.0,418.0,2362.0,,66602.0,909.0,28371.0,11520.0,775.0,6236.0,2185.0,9721.0,3451.0,932.0,12261.0,139010.0,921.0,46.0,142.0,330.0,5470.0,402.0,4397.0,15627.0,79.0,64603.0,,1259.0,2535.0,18893.0,14728.0
701,97.0,14595.0,191.0,8227.0,10043.0,440.0,2860.0,,87360.0,1315.0,32557.0,14548.0,953.0,7497.0,2490.0,15242.0,4442.0,973.0,13593.0,174761.0,1234.0,52.0,160.0,459.0,7065.0,714.0,5568.0,18014.0,89.0,90167.0,,1388.0,2881.0,23492.0,18559.0
702,100.0,15252.0,195.0,8582.0,10249.0,446.0,2940.0,,89802.0,1387.0,33232.0,14941.0,979.0,7695.0,2521.0,16514.0,4593.0,990.0,13861.0,180298.0,1260.0,52.0,160.0,459.0,7316.0,714.0,5668.0,18312.0,101.0,94049.0,,1396.0,2947.0,24056.0,19170.0
703,109.0,16097.0,195.0,9013.0,10471.0,450.0,3013.0,,92175.0,1482.0,33913.0,15509.0,1014.0,7849.0,2584.0,18016.0,4753.0,990.0,14106.0,186626.0,1279.0,56.0,162.0,501.0,7545.0,802.0,5784.0,18662.0,102.0,98392.0,,1435.0,2984.0,24825.0,19819.0
